Time (seconds),Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Compass X,Compass Y,Compass Z,Wheel Speed Front Right,Wheel Speed Front Left,Wheel Speed Back Right,Wheel Speed Back Left,Average Wheel Speed,
0.004,-0.00397,-0.02361,0.99827,-0.67474,0.75531,-0.36236,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.053,-0.00534,-0.02281,1.00124,-1.03729,0.66467,-0.18118,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.103,-0.00595,-0.02193,1.00018,-1.05743,0.69489,-0.0671,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.154,-0.00237,-0.02308,0.99987,-0.70496,0.52368,0.01342,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.205,-0.00462,-0.01862,1.00086,-0.78552,0.67474,-0.10065,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.253,-0.00427,-0.02174,1.00052,-0.4834,0.78552,-0.02013,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.304,-0.00355,-0.02224,1.00018,-0.84595,0.54382,-0.1275,-0.39693,0.44844,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.353,-0.00507,-0.02136,1.00037,-0.85602,0.60425,-0.15434,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.403,-0.00454,-0.02178,1.00048,-0.73517,0.51361,-0.05368,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.453,-0.00343,-0.02148,1.00101,-0.74524,0.67474,-0.30196,-0.39693,0.44844,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.504,-0.00484,-0.02174,1.00021,-0.84595,0.69489,-0.05368,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.553,-0.00435,-0.02186,0.99964,-1.11786,0.71503,-0.14092,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.604,-0.00378,-0.02182,1.0004,-0.91644,0.73517,-0.22144,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.653,-0.00538,-0.02224,1.00075,-0.8963,0.66467,-0.04697,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.704,-0.00385,-0.02159,1.00033,-0.78552,0.67474,-0.34893,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.754,-0.00553,-0.02045,1.00033,-0.81573,0.38269,-0.14092,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.803,-0.00561,-0.02262,1.00021,-0.81573,0.32227,-0.28854,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.854,-0.00427,-0.02193,1.00075,-0.95673,0.60425,-0.02684,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.903,-0.00599,-0.02136,1.00029,-0.88623,0.74524,-0.13421,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.953,-0.00443,-0.0222,0.99995,-0.81573,0.63446,-0.05368,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.004,-0.00443,-0.02144,1.00071,-0.88623,0.42297,-0.31538,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.053,-0.00584,-0.02293,0.99995,-0.70496,0.52368,-0.25499,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.103,-0.00454,-0.02113,1.00056,-0.69489,0.71503,-0.13421,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
